name,resolution,fps,yt_id
usopen_2015_mens_final_federer_djokovic,1920x1080,29.97,634UMLDrVzc
usopen_2017_mens_round2_federer_youzhny,1920x1080,29.97,i8TAarlV4_Q
usopen_2019_mens_final_medvedev_nadal,1920x1080,29.97,ROaqNQ-12Js
usopen_2019_mens_round3_monfils_shapovalov,1920x1080,29.97,eumuWpLF8E4
usopen_2019_womens_final_andreescu_williams,1920x1080,29.97,GCzsODijnqw
usopen_2019_womens_osaka_gauff,1920x1080,29.97,v4IKkudrQtc
usopen_2019_womens_round1_williams_sharapova,1920x1080,29.97,63_e3G9Yf04
usopen_2020_mens_final_zverev_thiem,1920x1080,29.97,Mac4XI3ka5I
usopen_2020_womens_final_osaka_azarenka,1920x1080,29.97,LVjO-dH0P6c
usopen_2020_womens_quarterfinal_osaka_rogers,1920x1080,29.97,6NCDNdB43qU
usopen_2021_mens_final_medvedev_djokovic,1920x1080,29.97,yACtNdJaBso
usopen_2021_mens_round1_murray_tsitsipas,1920x1080,29.97,34G0OeXzWio
usopen_2021_mens_semifinal_djokovic_zverev,1920x1080,29.97,_g1lEtQXtxE
usopen_2021_womens_final_raducanu_fernandez,1920x1080,29.97,F99Kz2eptqM
usopen_2021_womens_round4_sakkari_andreescu,1920x1080,29.97,JwwQL3rA59Y
usopen_2021_womens_semifinal_raducanu_sakkari,1920x1080,29.97,Lg2_-XjjvyY
wimbledon_2015_womens_quarterfinal_williams_azarenka,1920x1080,25.00,XK0uXbNUz_g
wimbledon_2017_womens_round2_konta_vekic,1920x1080,25.00,RXUl2lYAFAQ
wimbledon_2018_mens_quarterfinal_delpotro_nadal,1920x1080,25.00,S5LVbZUgM48
wimbledon_2018_mens_semifinal_djokovic_nadal,1920x1080,25.00,V96sSCV03ng
wimbledon_2018_womens_quarterfinal_kerber_kasatkina,1920x1080,25.00,rR8PfwoyDeE
wimbledon_2018_womens_quarterfinal_williams_giorgi,1920x1080,25.00,EjqeygN7Tf0
wimbledon_2019_mens_final_djokovic_federer,1920x1080,25.00,TUikJi0Qhhw
wimbledon_2019_mens_round2_nadal_kyrgios,1920x1080,25.00,T4S5YmO0KOU
wimbledon_2019_mens_semifinal_federer_nadal,1920x1080,25.00,wZnCcqm_g-E
wimbledon_2019_womens_final_halep_williams,1920x1080,25.00,fduc5bZx3ss
wimbledon_2019_womens_gauff_hercog,1920x1080,25.00,zjX2sRXaGVk
wimbledon_2019_womens_round1_gauff_williams,1920x1080,25.00,RmctP3ffidY
